#options: 480x320 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=umh subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=700 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 vbv_maxrate=10000 vbv_bufsize=10000 nal_hrd=none filler=0 ip_ratio=1.41 aq=1:1.00
in:35 out:35 type:P dur:2 cpbdur:2 q:20.22 aq:10.82 tex:465 mv:75 misc:284 imb:0 pmb:25 smb:575 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:20.25 aq:10.82 tex:435 mv:72 misc:269 imb:0 pmb:24 smb:576 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:20.33 aq:10.82 tex:373 mv:63 misc:252 imb:0 pmb:21 smb:579 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:20.26 aq:10.82 tex:389 mv:66 misc:257 imb:0 pmb:22 smb:578 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:19.96 aq:10.77 tex:3253 mv:153 misc:394 imb:0 pmb:51 smb:549 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:19.54 aq:10.90 tex:6282 mv:348 misc:538 imb:0 pmb:116 smb:484 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:19.06 aq:11.28 tex:11074 mv:453 misc:569 imb:0 pmb:151 smb:449 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:18.58 aq:11.10 tex:10037 mv:476 misc:567 imb:0 pmb:158 smb:442 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:18.10 aq:10.26 tex:23538 mv:680 misc:654 imb:0 pmb:226 smb:374 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:17.90 aq:10.08 tex:4677 mv:231 misc:444 imb:0 pmb:77 smb:523 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:17.27 aq:10.09 tex:6332 mv:204 misc:432 imb:0 pmb:68 smb:532 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:17.12 aq:10.00 tex:2115 mv:141 misc:368 imb:0 pmb:47 smb:553 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:17.02 aq:10.00 tex:770 mv:105 misc:333 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:16.76 aq:10.00 tex:1509 mv:114 misc:353 imb:0 pmb:38 smb:562 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:16.49 aq:10.00 tex:1056 mv:108 misc:332 imb:0 pmb:36 smb:564 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:16.26 aq:10.00 tex:761 mv:108 misc:339 imb:0 pmb:36 smb:564 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:16.30 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:15.92 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:15.48 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:15.13 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:14.74 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:14.63 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:14.24 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:13.91 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:13.69 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:13.26 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:13.25 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:12.86 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:12.32 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:12.13 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:11.76 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:11.45 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:11.31 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:11.18 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:11.26 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:10.92 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:10.79 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:10.67 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:10.54 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:10.42 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:10.30 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:10.18 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:10.06 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:10.00 aq:10.00 tex:557 mv:105 misc:330 imb:0 pmb:35 smb:565 d:- ref:0 ;
